date,mean_temp,mean_humidity,mean_light,growth_rate
1,34,50,53,20
2,34,62,69,21
3,36,48,60,25
4,35,63,56,24
5,37,59,69,15
6,37,44,58,11
7,37,57,53,13
8,33,65,61,24
9,35,59,52,26
10,37,57,58,18
11,36,67,64,28
12,36,32,56,14
13,37,32,51,19
14,36,34,61,16
15,34,63,56,28
16,34,40,54,14
17,34,59,68,25
18,37,51,56,13
19,35,47,53,22
20,33,35,53,13
21,35,49,54,22
22,35,60,70,22
23,34,31,56,11
24,33,62,68,13
25,37,63,55,14
26,34,41,69,25
27,37,48,57,16
28,35,34,55,18
29,33,49,56,26
30,37,31,50,15
31,36,60,59,26
32,36,38,57,13
33,37,37,54,14
34,36,46,66,26
35,34,60,56,25
36,34,46,68,2623
37,33,60,59,22
38,33,43,61,28
39,35,51,68,24
40,34,55,70,28
41,37,65,69,12
42,33,31,58,13
43,35,33,62,13
44,36,69,60,22
45,36,42,59,24
46,36,39,62,13
47,37,39,60,14
48,34,47,62,25
49,36,41,62,26
50,33,65,53,24
51,36,68,55,28
52,34,41,54,24
53,37,33,55,11
54,33,61,64,22
55,36,53,58,23
56,36,59,63,25
57,37,58,65,18
58,36,34,50,14
59,36,45,61,22
60,36,55,59,25
61,36,32,67,12
62,34,51,66,23
63,35,43,68,22
64,34,31,56,18
65,37,55,56,17
66,33,34,68,16
67,35,62,56,23
68,33,61,55,24
69,37,52,52,14
70,36,38,68,11
71,36,69,68,23
72,37,46,52,14
73,36,37,64,15
74,36,50,62,22
75,36,61,67,23
76,35,70,55,24
77,34,48,68,22
78,33,66,65,26
79,34,30,70,17
80,33,56,69,24
81,37,66,58,18
82,37,35,54,17
83,36,30,62,12
84,36,69,68,23
85,34,39,54,11
86,36,32,59,12
87,34,57,62,24
88,34,49,65,22
89,33,31,51,12
90,33,36,65,13
91,34,65,54,22
92,33,48,63,24
93,37,46,57,12
94,36,45,62,24
95,33,45,55,26
96,37,62,58,11
97,34,58,53,23
98,36,30,70,11
99,35,50,54,25
100,34,64,66,25
101,37,40,56,18
102,35,51,54,24
103,33,58,54,25
104,34,67,61,26
105,33,40,52,12
106,37,57,53,13
107,35,38,69,11
108,35,50,57,22
109,35,51,55,23
110,33,68,58,22
111,34,56,65,24
112,33,42,54,22
113,35,37,56,12
114,37,38,58,12
115,34,62,54,25
116,34,55,68,24
117,36,46,61,23
118,33,37,64,14
119,37,38,64,15
120,33,55,51,24
121,33,61,59,25
122,36,39,59,13
123,37,64,59,14
124,34,61,61,26
125,36,55,69,22
126,36,35,60,15
127,33,58,58,25
128,37,34,51,16
129,33,61,52,24
130,33,64,51,25
131,36,64,53,26
132,33,33,69,18
133,37,37,55,17
134,37,35,59,15
135,36,31,51,14
136,37,51,58,14
137,33,64,60,22
138,36,59,52,26
139,35,45,68,23
140,36,38,66,11
141,33,56,64,21
142,35,38,52,12
143,33,55,51,22
144,35,65,64,23
145,35,39,54,12
146,35,40,51,12
147,35,54,53,22
148,33,70,62,22
149,37,42,61,15
150,34,60,59,23
151,36,49,55,29
152,36,39,70,12
153,35,40,67,13
154,36,61,63,22
155,34,65,64,23
156,35,58,59,25
157,35,36,51,12
158,37,41,60,15
159,34,66,69,26
160,34,36,59,14
161,34,59,68,22
162,34,55,55,23
163,34,30,59,14
164,33,64,53,23
165,37,70,54,18
166,34,37,69,10
167,33,42,70,28
168,34,56,64,27
169,33,50,67,24
170,34,57,51,26
171,34,34,64,18
172,36,34,56,17
173,34,53,54,26
174,35,69,57,22
175,33,54,54,26
176,36,36,59,14
177,34,37,64,13
178,33,69,70,25
179,35,62,64,23
180,33,63,62,24
181,35,34,63,12
182,35,68,67,23
183,34,42,70,25
184,36,68,51,26
185,33,69,53,24
186,36,37,52,18
187,36,30,63,17
188,34,54,67,23
189,36,32,63,29
190,33,68,64,23
191,36,34,68,14
192,37,39,68,14
193,34,46,67,23
194,33,50,55,28
195,33,61,50,27
196,34,45,57,22
197,34,38,70,11
198,36,36,65,14
199,35,67,64,22
200,37,33,52,15
